,Rule,Status,Reason NG,Status Rails,Origin invoice Status,Client Status,Hidden, TL flag,Need to reissue?
RR0 (Matcher),Crop rejected report,Disqualified,Invoice not found,Rejected: Invoice not found,No need origin invoice,Disqualified,No,Null,No
RR0 (Matcher),Out of Scope = Yes,Disqualified,Out of Scope,Rejected: Out of Scope,No need origin invoice,Disqualified,Yes,Null,No
RR0 (Matcher),Transaction Date = Missing,Disqualified,Missing Date,Rejected By Vatbox: Missing Mandatory Details,No need origin invoice,Disqualified,No,Rejected,Yes
RR0 (Matcher),Transaction Category = Shipment,Skip,Shipment,Autofill,,,,,
RR0 (Matcher),Matcher - non eligible csv,Skip,Non Eligible,Autofill,,,,,
RR0 (Matcher),Matcher- Simplified NE csv,Disqualified,Simplified Non Eligible,Rejected By Vatbox: Document is not an invoice,No need origin invoice,Disqualified,No,Rejected,Yes
RR0 (Matcher),Matcher- Below threshold csv,Disqualified,Vat Amount below threshold,Reject by vatbox:Invoice amount is too low,No need origin invoice,Disqualified,Yes,Null,Yes
RR1 (P1),Review by Manager= Yes,Skip,Review by Manager,Autofill,,,,,
RR1 (P1),Supplier= Wrong Country,Skip,Review by Manager,Autofill,,,,,
RR1 (P1),Supplier = Missing,Disqualified,Missing Supplier,Rejected By Vatbox: Missing Mandatory Details,No need origin invoice,Disqualified,No,Rejected,Yes
RR1 (P1),Invoice# =Missing,Disqualified,Missing Invoice#,Rejected By Vatbox: Missing Mandatory Details,No need origin invoice,Disqualified,No,Rejected,Yes
RR1 (P1),P1 Qualified csv,Qualified,Qualified,Autofill,,,,,
RR1 (P1),Partial Eligible Vat csv,Skip,Partial Eligible Vat Amount,Autofill,,,,,
RR2 (P2),Review by Manager= Yes,Skip,Review by Manager,Autofill,,,,,
RR2 (P2),Wrong Country = Yes,Skip,Review by Manager,Autofill,,,,,
RR2 (P2),Document type = Unknown,Skip,Review by Manager,Autofill,,,,,
RR2 (P2),Supplier = Missing Supplier in list,Skip,Missing Supplier in list,Missing Details,,,,,
RR2 (P2),Missing VAT indication csv,Disqualified,Missing VAT indication,Rejected By Vatbox: Missing VAT indication,No need origin invoice,Disqualified,No,Rejected,Yes
RR2 (P2),Non valid Document type csv,Disqualified,Invalid Document Type,Rejected By Vatbox: Document is not an invoice,No need origin invoice,Disqualified,No,Rejected,Yes
RR2 (P2),P2 Qualified csv,Qualified,Qualified,Autofill,,,,,