originCountry,country,expenseTypeCode,comparison,amount,currency,date,directive,status,reason
Any,AT,4,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,AT,18,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,AT,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,AT,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,AT,31,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,AT,34,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,BE,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,BE,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,BG,4,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,BG,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,BG,22,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,BG,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,BG,34,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,CZ,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,CZ,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,DK,4,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,DK,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,DK,22,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,EE,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,ES,32,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,FI,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,FI,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,FR,4,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,FR,5,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,FR,22,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,GB,22,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,Any,33,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,GR,4,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,GR,5,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,GR,18,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,GR,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,GR,22,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,GR,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,HR,4,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,HR,18,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,HR,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,HR,22,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,HR,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,HR,34,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,HU,18,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,HU,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,HU,22,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,HU,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,HU,31,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,HU,34,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,IE,4,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,IE,5,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,IE,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,IE,22,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,IE,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,IE,34,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,IT,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,IT,22,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,LT,4,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,LT,34,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,LV,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,LV,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,MT,4,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,MT,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,MT,22,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,NL,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PL,5,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PL,18,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PL,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PL,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PT,4,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PT,5,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PT,12,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PT,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PT,22,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PT,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PT,27,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PT,30,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PT,31,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,PT,34,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,RO,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,RO,31,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,SI,4,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,SI,5,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,SI,18,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,SI,21,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,SI,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE
Any,SK,25,LT,Any,Any,Any,Any,Skip,NON_ELIGIBLE